entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2019-09-11,2019-09-18,long,538593.11,1.03,0.996,-18639.52,-3.359,4,512880,证券ETF,证券ETF
2019-09-18,2019-09-19,long,1368472.3,0.396,0.397,1042.91,0.1924,1,512170,医疗ETF,医疗ETF
2019-09-19,2019-09-20,long,1213949.5,0.447,0.451,4528.76,0.8343,1,512010,医药ETF,医药ETF
2019-09-05,2019-09-23,long,779447.0,0.69,0.705,11365.51,2.1126,11,512100,中证1000ETF,中证1000ETF
2019-09-23,2019-09-24,long,1228928.75,0.453,0.448,-6476.82,-1.1631,1,512010,医药ETF,医药ETF
2019-09-20,2019-09-24,long,1365726.27,0.404,0.403,-1696.37,-0.3074,2,512170,医疗ETF,医疗ETF
2019-09-24,2019-09-25,long,344236.39,1.619,1.62,9.74,0.0017,1,159915,创业板ETF,创业板ETF
2019-09-24,2019-09-27,long,798450.89,0.698,0.667,-25078.94,-4.4986,3,512100,中证1000ETF,中证1000ETF
2019-09-25,2019-09-30,long,1362206.63,0.41,0.393,-23485.67,-4.2038,3,512170,医疗ETF,医疗ETF
2019-09-30,2019-10-08,long,551463.45,0.961,0.941,-11343.93,-2.1399,1,512880,证券ETF,证券ETF
2019-08-30,2019-10-11,long,1727909.33,0.306,0.33,41140.14,7.7785,24,512760,半导体ETF,半导体ETF
2019-09-27,2019-11-11,long,983420.21,0.534,0.566,31144.92,5.9289,26,512800,银行ETF,银行ETF
2019-11-11,2019-11-14,long,345001.66,1.641,1.619,-7927.45,-1.3998,3,159915,创业板ETF,创业板ETF
2019-11-14,2019-11-26,long,1691478.25,0.333,0.319,-24011.55,-4.2617,8,512760,半导体ETF,半导体ETF
2019-11-26,2019-11-27,long,977006.91,0.554,0.552,-2278.18,-0.4208,1,512800,银行ETF,银行ETF
2019-10-08,2019-11-29,long,1305582.44,0.398,0.419,27097.23,5.2132,38,512170,医疗ETF,医疗ETF
2019-10-11,2019-12-02,long,1178772.46,0.452,0.458,6750.83,1.2667,36,512010,医药ETF,医药ETF
2019-12-02,2019-12-03,long,825198.51,0.656,0.656,-324.8,-0.06,1,512100,中证1000ETF,中证1000ETF
2019-12-03,2019-12-04,long,608184.41,0.9,0.905,2711.59,0.4952,1,512880,证券ETF,证券ETF
2019-12-04,2019-12-10,long,166598.0,3.326,3.278,-8326.77,-1.5023,4,518880,黄金ETF,黄金ETF
2019-11-29,2019-12-12,long,340461.17,1.608,1.651,14306.96,2.6125,9,159915,创业板ETF,创业板ETF
2019-12-12,2019-12-13,long,621973.37,0.923,0.933,5873.42,1.0228,1,512880,证券ETF,证券ETF
2019-12-10,2019-12-16,long,845458.9,0.674,0.689,12336.18,2.1642,4,512100,中证1000ETF,中证1000ETF
2019-12-13,2019-12-18,long,346715.93,1.67,1.734,21835.75,3.7701,3,159915,创业板ETF,创业板ETF
2019-12-18,2019-12-23,long,855522.68,0.706,0.703,-2928.2,-0.4847,3,512100,中证1000ETF,中证1000ETF
2019-12-23,2019-12-24,long,152434.53,3.913,3.863,-7977.33,-1.337,1,510300,沪深300ETF,沪深300ETF
2019-12-24,2019-12-25,long,346373.2,1.676,1.7,7962.15,1.3711,1,159915,创业板ETF,创业板ETF
2019-12-25,2019-12-31,long,849614.74,0.697,0.709,9837.01,1.6606,4,512100,中证1000ETF,中证1000ETF
2019-12-31,2020-01-03,long,154148.38,3.967,4.054,13039.98,2.1318,2,510300,沪深300ETF,沪深300ETF
2019-11-27,2020-01-08,long,1693839.92,0.32,0.403,140221.32,25.862,29,512760,半导体ETF,半导体ETF
2020-01-08,2020-01-09,long,348794.53,1.808,1.811,667.7,0.1058,1,159915,创业板ETF,创业板ETF
2020-01-09,2020-01-10,long,179705.17,3.44,3.413,-5221.5,-0.8444,1,518880,黄金ETF,黄金ETF
2019-12-16,2020-01-14,long,613661.21,0.957,1.051,57314.48,9.7565,20,512880,证券ETF,证券ETF
2020-01-03,2020-01-20,long,852898.25,0.73,0.754,20089.85,3.2257,11,512100,中证1000ETF,中证1000ETF
2020-01-10,2020-02-04,long,333922.11,1.847,1.716,-44100.73,-7.1483,11,159915,创业板ETF,创业板ETF
2020-02-04,2020-02-05,long,170167.64,3.509,3.459,-8864.1,-1.484,1,518880,黄金ETF,黄金ETF
2020-01-20,2020-03-03,long,1378298.71,0.455,0.532,105720.89,16.8529,25,512170,医疗ETF,医疗ETF
2020-02-05,2020-03-04,long,337085.19,1.833,2.077,81853.39,13.2435,20,159915,创业板ETF,创业板ETF
2020-01-14,2020-03-09,long,1409724.99,0.443,0.515,101095.04,16.1831,33,512760,半导体ETF,半导体ETF
2020-03-09,2020-03-13,long,1330189.62,0.539,0.473,-88196.36,-12.2975,4,512170,医疗ETF,医疗ETF
2020-03-13,2020-03-16,long,195089.74,3.472,3.4,-14448.66,-2.1325,1,518880,黄金ETF,黄金ETF
2020-03-16,2020-03-17,long,1358894.0,0.491,0.466,-34362.49,-5.1486,1,512170,医疗ETF,医疗ETF
2020-03-17,2020-03-18,long,190903.81,3.315,3.38,12025.32,1.8996,1,518880,黄金ETF,黄金ETF
