date,value
2016-05-27,1554896.93
2016-05-30,1547975.11
2016-05-31,1605069.05
2016-06-01,1600576.41
2016-06-02,1606478.51
2016-06-03,1617821.29
2016-06-06,1612984.63
2016-06-07,1611961.49
2016-06-08,1615498.27
2016-06-13,1557107.16
2016-06-14,1557702.78
2016-06-15,1579301.39
2016-06-16,1577166.68
2016-06-17,1574060.75
2016-06-20,1571203.1
2016-06-21,1563032.21
2016-06-22,1568228.37
2016-06-23,1563640.76
2016-06-24,1581900.6
2016-06-27,1603258.94
2016-06-28,1608431.12
2016-06-29,1610823.28
2016-06-30,1613170.04
2016-07-01,1616767.29
2016-07-04,1633922.0
2016-07-05,1630966.32
2016-07-06,1643544.41
2016-07-07,1650894.73
2016-07-08,1646339.89
2016-07-11,1653457.7
2016-07-12,1671481.75
2016-07-13,1678443.11
2016-07-14,1674410.4
2016-07-15,1672013.85
2016-07-18,1660634.81
2016-07-19,1662586.09
2016-07-20,1659855.86
2016-07-21,1653161.61
2016-07-22,1639737.75
2016-07-25,1641121.4
2016-07-26,1665853.85
2016-07-27,1621790.85
2016-07-28,1634151.34
2016-07-29,1634406.57
2016-08-01,1623192.43
2016-08-02,1629598.32
2016-08-03,1635173.4
2016-08-04,1634465.17
2016-08-05,1648740.88
2016-08-08,1639845.76
2016-08-09,1643565.37
2016-08-10,1649854.61
2016-08-11,1642736.64
2016-08-12,1660397.17
2016-08-15,1674828.47
2016-08-16,1670210.39
2016-08-17,1671515.74
2016-08-18,1673662.24
2016-08-19,1673234.79
2016-08-22,1665238.02
2016-08-23,1668250.93
2016-08-24,1661080.69
2016-08-25,1657204.48
2016-08-26,1661883.49
2016-08-29,1665033.41
2016-08-30,1668028.33
2016-08-31,1668904.68
2016-09-01,1659297.36
2016-09-02,1657433.35
2016-09-05,1663828.0
2016-09-06,1680405.74
2016-09-07,1676504.43
2016-09-08,1678364.9
2016-09-09,1668050.24
2016-09-12,1630859.84
2016-09-13,1635328.2
2016-09-14,1626469.57
2016-09-19,1632210.15
2016-09-20,1635019.1
2016-09-21,1636894.29
2016-09-22,1645397.31
2016-09-23,1644119.9
2016-09-26,1631994.36
2016-09-27,1632023.33
2016-09-28,1627241.97
2016-09-29,1630335.16
2016-09-30,1635706.33
2016-10-10,1637080.09
2016-10-11,1641254.72
2016-10-12,1639500.02
2016-10-13,1638725.21
2016-10-14,1637947.32
2016-10-17,1628344.3
2016-10-18,1645466.36
2016-10-19,1639590.33
2016-10-20,1637848.56
2016-10-21,1640950.37
2016-10-24,1659167.43
2016-10-25,1652449.45
2016-10-26,1647662.9
2016-10-27,1646256.24
2016-10-28,1643463.55
2016-10-31,1638874.46
2016-11-01,1649985.65
2016-11-02,1643207.02
2016-11-03,1661750.98
2016-11-04,1655311.66
2016-11-07,1657144.09
2016-11-08,1661958.03
2016-11-09,1666620.31
2016-11-10,1670723.24
2016-11-11,1685955.29
2016-11-14,1673735.26
2016-11-15,1673192.68
2016-11-16,1677821.02
2016-11-17,1672537.18
2016-11-18,1667313.26
2016-11-21,1666383.21
2016-11-22,1681326.37
2016-11-23,1674384.71
2016-11-24,1686464.39
2016-11-25,1697752.14
2016-11-28,1695980.3
2016-11-29,1710212.75
2016-11-30,1695663.79
2016-12-01,1705291.45
2016-12-02,1678023.65
2016-12-05,1649312.27
2016-12-06,1639837.45
2016-12-07,1648919.35
2016-12-08,1644557.13
2016-12-09,1639975.67
2016-12-12,1587700.27
2016-12-13,1587214.99
2016-12-14,1587330.44
2016-12-15,1574611.76
2016-12-16,1575252.43
2016-12-19,1592558.14
2016-12-20,1574887.36
2016-12-21,1574382.01
2016-12-22,1574702.58
2016-12-23,1571941.47
2016-12-26,1580340.43
2016-12-27,1575432.27
2016-12-28,1574584.88
2016-12-29,1569345.99
2016-12-30,1584593.19
2017-01-03,1594013.49
2017-01-04,1599165.1
2017-01-05,1594520.92
2017-01-06,1589074.11
2017-01-09,1593418.8
2017-01-10,1596560.77
2017-01-11,1593821.52
2017-01-12,1591634.94
2017-01-13,1576723.6
2017-01-16,1562391.33
2017-01-17,1564157.1
2017-01-18,1564988.69
2017-01-19,1560797.89
2017-01-20,1569262.57
2017-01-23,1571297.0
2017-01-24,1568284.96
2017-01-25,1565678.02
2017-01-26,1568767.23
2017-02-03,1567380.13
2017-02-06,1577074.25
2017-02-07,1572436.22
2017-02-08,1577390.08
2017-02-09,1581956.39
2017-02-10,1582222.5
2017-02-13,1590213.79
2017-02-14,1589987.14
2017-02-15,1582201.73
2017-02-16,1592906.66
2017-02-17,1592343.4
2017-02-20,1603161.45
2017-02-21,1611272.06
2017-02-22,1611367.49
2017-02-23,1610378.45
2017-02-24,1615093.96
2017-02-27,1609184.08
2017-02-28,1604531.15
2017-03-01,1603558.18
2017-03-02,1598168.84
2017-03-03,1599808.53
2017-03-06,1616310.04
2017-03-07,1620946.95
2017-03-08,1616087.14
2017-03-09,1603882.19
2017-03-10,1604457.11
2017-03-13,1618715.95
2017-03-14,1612488.28
2017-03-15,1620167.15
2017-03-16,1627278.56
2017-03-17,1618505.02
2017-03-20,1629061.55
2017-03-21,1641254.16
2017-03-22,1651166.08
2017-03-23,1643309.0
2017-03-24,1648675.87
2017-03-27,1634299.44
2017-03-28,1633882.43
2017-03-29,1624687.18
2017-03-30,1617596.81
2017-03-31,1622927.0
2017-04-05,1638900.44
2017-04-06,1655445.4
2017-04-07,1658435.97
2017-04-10,1641427.27
2017-04-11,1639345.4
2017-04-12,1641346.28
2017-04-13,1649997.83
2017-04-14,1642276.3
2017-04-17,1634537.77
2017-04-18,1636282.35
2017-04-19,1634977.3
2017-04-20,1646006.87
2017-04-21,1641690.12
2017-04-24,1631932.47
2017-04-25,1632455.1
2017-04-26,1629614.15
2017-04-27,1632979.11
2017-04-28,1628455.46
2017-05-02,1616997.61
2017-05-03,1620593.46
2017-05-04,1602762.01
2017-05-05,1610526.99
2017-05-08,1598457.23
2017-05-09,1596487.36
2017-05-10,1591786.34
2017-05-11,1595294.72
2017-05-12,1602374.98
2017-05-15,1614140.2
2017-05-16,1625957.83
2017-05-17,1623008.2
2017-05-18,1620717.05
2017-05-19,1616083.79
2017-05-22,1621993.42
2017-05-23,1632673.74
2017-05-24,1623705.12
2017-05-25,1635421.85
2017-05-26,1632345.74
2017-05-31,1631596.84
2017-06-01,1632839.41
2017-06-02,1630183.0
2017-06-05,1617975.91
2017-06-06,1629489.48
2017-06-07,1641496.77
2017-06-08,1651812.97
2017-06-09,1658669.02
2017-06-12,1662063.27
2017-06-13,1665918.62
2017-06-14,1659800.84
2017-06-15,1659369.53
2017-06-16,1653927.68
2017-06-19,1672718.3
2017-06-20,1670548.99
2017-06-21,1674816.3
2017-06-22,1667161.66
2017-06-23,1673215.68
2017-06-26,1693645.37
2017-06-27,1690800.05
2017-06-28,1687752.87
2017-06-29,1687531.46
2017-06-30,1690434.8
2017-07-03,1698767.11
2017-07-04,1684109.5
2017-07-05,1698131.43
2017-07-06,1700241.23
2017-07-07,1698810.96
2017-07-10,1699679.82
2017-07-11,1698825.46
2017-07-12,1691603.83
2017-07-13,1707561.15
2017-07-14,1709901.4
2017-07-17,1653532.12
2017-07-18,1651399.67
2017-07-19,1697003.83
2017-07-20,1697212.77
2017-07-21,1690638.68
2017-07-24,1694299.1
2017-07-25,1685582.01
2017-07-26,1680052.1
2017-07-27,1691870.36
2017-07-28,1689290.19
2017-07-31,1695923.98
2017-08-01,1707735.49
2017-08-02,1710844.37
2017-08-03,1701073.23
2017-08-04,1702934.03
2017-08-07,1694063.07
2017-08-08,1695298.87
2017-08-09,1689956.57
2017-08-10,1694446.01
2017-08-11,1671600.07
2017-08-14,1704904.48
2017-08-15,1699938.05
2017-08-16,1713338.67
2017-08-17,1727150.33
2017-08-18,1720260.78
2017-08-21,1724028.09
2017-08-22,1715558.61
2017-08-23,1710603.55
2017-08-24,1700312.31
2017-08-25,1721827.18
2017-08-28,1742658.63
2017-08-29,1731200.8
2017-08-30,1738584.14
2017-08-31,1750293.25
2017-09-01,1763031.99
2017-09-04,1772327.7
2017-09-05,1769049.88
2017-09-06,1776977.07
2017-09-07,1764214.31
2017-09-08,1759060.62
2017-09-11,1773257.21
2017-09-12,1772535.46
2017-09-13,1773741.33
2017-09-14,1767951.18
2017-09-15,1769661.87
2017-09-18,1783333.83
2017-09-19,1766338.8
2017-09-20,1775648.2
2017-09-21,1760387.82
2017-09-22,1754752.25
2017-09-25,1733436.03
2017-09-26,1732676.79
2017-09-27,1743260.14
2017-09-28,1749023.15
2017-09-29,1764615.17
2017-10-09,1784759.33
2017-10-10,1792413.33
2017-10-11,1792735.11
2017-10-12,1800684.46
2017-10-13,1808361.15
2017-10-16,1784188.62
2017-10-17,1785575.66
2017-10-18,1803398.01
2017-10-19,1807796.91
