OHLCV 数据完整性验证报告 (5 年日K线)
生成时间: 2026-07-25T13:44:18.148615
数据目录: E:\各种PY程序\28-终极量化交易系统8.4\data_cache
================================================================================

标的池总数: 105
通过: 101
失败: 4
覆盖率: 96.2%

================================================================================
所有标的详情
================================================================================
✓ 601390_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601006_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600009_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601021_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600029_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 515180_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 518880_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 588000_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 510300_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 000002_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 001979_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600048_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000998_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 603019_SH | rows=1260 | 2021-04-28 ~ 2026-07-24 | days=1913
✓ 601169_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
