code,date,y,MOM_5D,MOM_10D,MOM_20D,MOM_60D,REVERSAL_5D,REVERSAL_20D,UP_DOWN_RATIO_20D,UP_DOWN_RATIO_60D,VOL_5D,VOL_20D,VOL_60D,DOWNSIDE_VOL_20D,DOWNSIDE_VOL_60D,SKEW_60D,KURT_60D,TURNOVER_5D,TURNOVER_20D,TURNOVER_60D,AMIHUD_20D,AMIHUD_60D,VOLUME_CHG_5D,VOLUME_CHG_20D,VOLUME_Z_20D,VOLUME_Z_60D,MA_DEV_10D,MA_DEV_20D,MA_DEV_60D,MACD,RSI_6D,RSI_14D,RSI_28D,BB_WIDTH_20D,BB_WIDTH_60D,ATR_14D,ATR_28D,OBV_CHG,PRICE_VOL_DIVERG_20D,PRICE_VOL_DIVERG_60D,SIZE_PROXY,MOM_120D,VOL_120D,SKEW_120D,KURT_120D,MA_DEV_120D,QUALITY_PROXY,MOM_252D,MOM_12_1M,VOL_252D,LONG_TERM_RET,EARNING_STABILITY
600276.SH,2025-01-21 15:00:00,-0.024817194770662576,0.028486782133090305,0.036280137772675136,-0.025901143967191786,-0.06330427563304275,-0.028486782133090305,0.025901143967191786,0.6666666666666666,0.6216216216216216,0.0236253280873871,0.016883985652672785,0.01738365362857559,0.007288019231949995,0.008600981362511882,1.081835762395414,2.5860866367380946,321663.0,295698.1,406242.63333333336,4.113166217002228e-08,3.119216044018669e-08,0.1465614527111081,-0.28288874736810965,0.6894424582007898,-0.2874190747248881,0.03587577753804494,0.01275764954052283,-0.04193777796647946,0.004233981084304253,72.6179362470478,46.80845682790308,40.6900137495078,0.05962112473104265,0.09573653724438544,0.02435820328574592,0.020884112563704833,-2.2281274871734915,0.0,0.0,45.13,0.09885561236912599,0.0222974247423306,0.5349582807060673,2.708401633810089,-0.024309390274442122,0.04268330853086614,,,,,
600900.SH,2025-01-21 15:00:00,-0.02777777777777768,0.012499999999999956,0.0055172413793103114,-0.021804763502180413,0.052327679538072935,-0.012499999999999956,0.021804763502180413,0.8181818181818182,0.9666666666666667,0.003839847008561791,0.007165217456478568,0.008976437099943871,0.004732333028325142,0.0049392055020646974,0.0002894565782259893,-0.6192020550734147,698920.4,797506.15,999444.2166666667,7.077683798100663e-09,7.104521531933411e-09,-0.10603915661880081,-0.23690000649228027,-0.061967233310974694,-0.7327253692508878,0.00868241724030594,0.001425210776653918,0.029031195595915937,-0.0013226753778204257,84.32895255278532,40.59114098455454,59.85236031626257,0.023904817908590777,0.05862554396288134,0.015089163237311395,0.015824025083284343,-1.2443122098127573,0.0,0.0,29.16,-0.03283582089552228,0.011156672933918919,-0.4113130765579522,2.311325079644017,0.014631430609439944,-0.036035180088811535,,,,,
000975.SZ,2025-02-05 15:00:00,0.019484240687679177,0.05374396135265713,0.05057194461167969,0.13532856213402744,-0.0396257567418824,-0.05374396135265713,-0.13532856213402744,1.25,0.9333333333333333,0.02362628155518333,0.0193036017115229,0.018302455777272634,0.0059061626251741845,0.008870534061448363,0.35032589464734326,-0.1655914073705822,314435.4,281337.1,297645.81666666665,4.986507666415695e-08,5.1370623035558965e-08,0.32329220254528335,0.02838242666613522,1.6198105107668797,1.0503542568116395,0.05323515210043439,0.05763985696102791,0.05613557270388858,0.004761874224198924,78.40539864321433,62.48632412592911,60.80726018307759,0.05081014661194476,0.07096710979629284,0.029758493655341754,0.027936962750716315,1.010645e+18,1.0,0.0,17.45,-0.021312394840157012,0.021416065831142174,0.05535051599583492,0.21913436778350315,0.030973516683160174,-0.0025350078355515114,,,,,
600276.SH,2025-02-05 15:00:00,0.009770506703022042,-0.009453072248480798,0.0029626253418413295,-0.04117647058823526,-0.09593262119967139,0.009453072248480798,0.04117647058823526,0.5384615384615384,0.6216216216216216,0.012989924244101204,0.01755412582123914,0.01719441373774461,0.00620745052944859,0.008496263544273967,1.1436972024243865,2.8532842107010885,262953.0,294744.05,388881.13333333336,4.6405463004452054e-08,3.220573443571398e-08,-0.18252021525633966,-0.17281743228086555,-0.2315353228179415,-0.6220429337181743,-0.001950290275762101,-0.001610671264263619,-0.06044853388555027,0.005083663525542348,42.101832486716305,53.1822472557896,41.87588127673957,0.04029517304970875,0.10130445239964994,0.024069205050800107,0.02179699418963221,-5.84306167400881,0.0,0.0,44.01,0.04363291439411898,0.02178905214763393,0.48610362593332435,2.95846799251502,-0.05125303152789018,0.029073236779947668,,,,,
600900.SH,2025-02-05 15:00:00,-0.012698412698412764,-0.011850819100731935,-0.015625,-0.040609137055837574,0.017587939698492594,0.011850819100731935,0.040609137055837574,0.6666666666666666,0.875,0.01761975233172699,0.009880188777199837,0.010018042409329407,0.005675827379383085,0.005490221149908067,0.14320511516499235,-0.47750482357595603,969299.2,832638.3,985833.6833333333,8.698774287566062e-09,8.042908138916067e-09,0.3868520649847964,-0.1864665566763245,0.4611358062852706,-0.29468180447304254,-0.013638577691183484,-0.017450222676624882,-0.0017605633802816323,-0.0028626678575647472,37.501820507379804,39.75434930106355,41.586003413985445,0.020419538682378637,0.057460470538327695,0.01680524061476442,0.01703199798437893,-3.4934537055781787,0.0,0.0,28.35,-0.06249999999999989,0.011434221834644155,-0.29018598735612045,1.9929299744178053,-0.011316675094596218,-0.03844117473762109,,,,,
000975.SZ,2025-02-12 15:00:00,-0.022484541877459185,0.02536023054755021,0.07427536231884058,0.07168674698795163,0.08541793776693107,-0.02536023054755021,-0.07168674698795163,0.9,1.0714285714285714,0.018696580715863033,0.018546157658320135,0.01765160042047952,0.006411595003428332,0.007773744255818846,0.40012791774897866,-0.38707310724253974,300744.8,269007.8,280543.01666666666,4.974091141575708e-08,5.212235904927222e-08,-0.04354026296021385,-0.15790762076201525,-0.12386845803897353,-0.17088367745227578,0.032501450957632017,0.05303658103468689,0.07430779914852503,0.008795897754456973,77.58276260305976,65.85794788482569,68.87235350546946,0.06903989937028922,0.07525116775069075,0.032241227013571,0.02929013089215448,0.5691221834417095,0.0,0.0,17.79,0.03731778425655974,0.021564409881572894,-0.012609638442422364,0.15294534115778013,0.05035277447034625,0.02621010890977784,,,,,
600276.SH,2025-02-12 15:00:00,0.006075607560756202,0.0018034265103696878,0.00022507314877340256,0.020436280137772656,-0.09839724081963885,-0.0018034265103696878,-0.020436280137772656,0.8181818181818182,0.6216216216216216,0.014426566210315222,0.01700199081718469,0.017108734495837448,0.0052371086871730475,0.008361089131077975,1.172605829579819,3.004884272372086,339785.2,301236.75,369278.25,4.219383492220644e-08,3.348237486669809e-08,0.2921898590242362,-0.15431170507944836,-0.4978380659842642,-0.6640549628452569,-0.0010115769360459215,0.00940353427520102,-0.043371877343225895,0.004228894290209026,47.1461065295569,53.8074139332963,43.7845129126149,0.03645895012697359,0.09988877323533364,0.025331104539025297,0.023040696926835517,-4.54174e+17,0.0,0.0,44.44,0.04761904761904745,0.02183668897011405,0.49515198335978083,2.9142823793881387,-0.04382127232302968,0.02707679613533308,,,,,
600900.SH,2025-02-12 15:00:00,0.0028581636298679047,-0.009904492394764763,-0.024398745207389383,-0.03482758620689663,0.03781979977753047,0.009904492394764763,0.03482758620689663,0.6666666666666666,0.875,0.004236442478083116,0.009531421367241718,0.009767063586492264,0.0059784928437049845,0.005490894797464601,0.15546236114523612,-0.2941435430212871,870531.6,830143.9,955864.6,7.865484731846136e-09,7.884372815670359e-09,-0.1018958851921058,-0.14699168116829142,-0.740208275642869,-0.8842793512539348,-0.010394569367840667,-0.0212088891997273,-0.015540092970907082,-0.0037871780662875765,8.442267415704066,37.56303629554849,34.92771395278547,0.028182910771094305,0.055770069382412524,0.01513295564742511,0.016255805644873174,-6.236477e+18,0.0,0.0,27.99,-0.05247122545700744,0.011303389835838642,-0.28176805684324463,2.1962029081923946,-0.021331522926798074,-0.04006913310478324,,,,,
000975.SZ,2025-02-19 15:00:00,-0.06210465784933883,-0.01917653694303445,0.002305475504322807,0.046959662853702566,0.043817527010804325,0.01917653694303445,-0.046959662853702566,0.9,1.1481481481481481,0.013270468804801126,0.018854233997351443,0.017702308274665783,0.008748425481129625,0.008403603379240718,0.3474890232611325,-0.3289452785614593,217863.8,267665.0,270343.55,4.6803743361086474e-08,5.246199670664206e-08,-0.2755858122900213,0.030124002429978924,-0.758875931837544,-0.5210919936439548,-0.013892826764955957,0.01686986521650158,0.04442353506436292,0.00023358532564968386,16.699136206566564,62.987783077427615,61.539955964594384,0.0739466932655161,0.08161893680136666,0.03228456419945781,0.030538897560174146,0.5122138797483624,0.0,0.0,17.39,0.03945008965929464,0.021663505919018018,0.006503969560339009,0.11539627197708846,0.02608481868469581,0.014299396344007323,,,,,
600276.SH,2025-02-19 15:00:00,0.06352046522030852,0.0015681003584229192,0.007889990982867578,0.018915223336371856,-0.05734767025089604,-0.0015681003584229192,-0.018915223336371856,0.8181818181818182,0.6666666666666666,0.011311310525142334,0.015347516093926355,0.017085327333104257,0.006186428413170689,0.008450053307231618,1.078131510251553,2.803905260985235,435256.4,339914.4,368883.0833333333,3.537941242001694e-08,3.2779339766864386e-08,0.28097515724640165,0.19084819903664152,0.23403179346754943,-0.007405389716908535,-0.002209377580396743,0.005792700073111723,-0.03163275251513409,0.0035128729053645813,62.77100463059272,52.57181603000517,49.73033390048779,0.03141363436884957,0.09793849227420132,0.024267501677477057,0.024107741956098012,-8.28858e+17,0.0,0.0,44.71,0.03687384044526909,0.02166225391388548,0.5052232621705759,3.081659834780165,-0.03986943426885159,0.02639209367052989,,,,,
