entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-09-01,2026-02-02,long,15300,1.011,1.58,8698.06,56.23010000000001,585,sh588000,科创50ETF,科创50ETF
2023-09-01,2026-03-02,long,1200,5.4983,8.53,3633.02,55.0627,599,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-03-02,long,1700,2.3792,3.4,1730.38,42.782199999999996,599,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2026-03-02,long,4900,5.5247,11.37,28625.04,105.7396,599,sh518880,黄金ETF,黄金ETF
2023-09-01,2026-04-01,long,6300,3.7709,4.52,4710.93,19.830000000000002,621,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2026-04-01,long,12800,2.1151,3.25,14514.29,53.611200000000004,621,sz159915,创业板ETF,创业板ETF
2023-09-01,2026-05-06,long,48500,1.0531,1.72,32317.66,63.272099999999995,642,sh588000,科创50ETF,科创50ETF
2023-09-01,2026-05-06,long,6000,2.1151,3.76,9862.66,77.7164,642,sz159915,创业板ETF,创业板ETF
2023-09-01,2026-06-01,long,15400,1.0531,1.84,12109.14,74.6631,660,sh588000,科创50ETF,科创50ETF
2023-09-01,2026-06-01,long,8000,2.1151,4.05,15469.51,91.42320000000001,660,sz159915,创业板ETF,创业板ETF
2023-09-01,2026-07-01,long,1300,5.6942,9.05,4357.56,58.8665,681,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-07-01,long,52400,1.0531,2.35,67918.5,123.07520000000001,681,sh588000,科创50ETF,科创50ETF
2023-09-01,2026-07-01,long,900,2.1151,4.36,2015.41,105.8746,681,sz159915,创业板ETF,创业板ETF
2023-09-01,2026-08-03,long,14400,3.8757,4.62,10697.53,19.1676,704,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2026-08-03,long,10700,6.7411,8.4,17723.65,24.572,704,sh518880,黄金ETF,黄金ETF
2023-09-01,2026-09-01,long,900,5.7311,7.97,2009.97,38.967800000000004,725,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-09-01,long,5800,2.4677,3.15,3951.78,27.610200000000003,725,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2026-09-01,long,1600,6.7411,9.13,3817.3,35.3922,725,sh518880,黄金ETF,黄金ETF
2023-09-01,2026-09-03,long,160700,3.9058,4.621,114708.04,18.2754,727,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2026-09-03,long,70900,5.7311,7.781,145169.25,35.726200000000006,727,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-09-03,long,119500,2.4677,3.086,73774.55,25.0175,727,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2026-09-03,long,318800,1.1518,1.703,175553.99,47.8089,727,sh588000,科创50ETF,科创50ETF
2023-09-01,2026-09-03,long,163500,2.2466,3.33,176973.72,48.18,727,sz159915,创业板ETF,创业板ETF
2023-09-01,2026-09-03,long,51600,6.7411,9.105,121838.12,35.0272,727,sh518880,黄金ETF,黄金ETF
